FID;Waterbody Name;area_ha;setname;wbrscode;Water body Code;District;state;Basin Code;Sub Basin
850040;Dhavaleshwar;40.64952703;Vita;R03570;Reservoir;Sangli;Maharashtra;Krishna;Krishna Upper
849968;Dhawanpur;35.22116737;Bansajhal;R00206;Reservoir;Bilaspur;Chhattisgarh;Mahanadi;Mahanadi Upper
849532;Dheel;1570.78092902;Mahapura;R00108;Reservoir;Sawai Madhopur;Rajasthan;Ganga;Banas
846717;Dheku;473.85292047;Shioor;R01014;Reservoir;Aurangabad;Maharashtra;Godavari;Godavari Upper
849445;Dhenkwan Reservoir;116.21842251;Darhi Ram;R00133;Reservoir;Mirzapur;Uttar Pradesh;Ganga;Upstream of Gomti confluence to Muzaffarnagar
848161;Dhingalwada;59.12781747;Dhingalwada;R05123;Reservoir;Mahisagar;Gujarat;Mahi;Mahi Lower
845786;Dhodho;40.7300591;Lehani;R03572;Reservoir;Washim;Maharashtra;Godavari;Wardha
846703;Dhoki;18.10235637;Dhoki;R03574;Reservoir;Ahmednagar;Maharashtra;Godavari;Godavari Upper
846852;Dhoki Dam;2.42115546;Dhoki;R07659;Reservoir;Osmanabad;Maharashtra;Godavari;Manjra
301955;Dhoki Reservoir;44.84516171;Wakharwadi;R03573;Reservoir;Osmanabad;Maharashtra;Godavari;Manjra
848202;Dholawad Dam;491.10432287;Sanwliya Rundi;R01839;Reservoir;Ratlam;Madhya Pradesh;Mahi;Mahi Upper
850789;Dholbaha Dam;87.25012515;Dhol Baha;R07704;Reservoir;Hoshiarpur;Punjab;Indus (Up to border);Beas
847924;Dholi;187.28307484;Mandvi;R03746;Reservoir;Bharuch;Gujarat;Narmada;Narmada Lower
846933;Dholiya;21.37403075;Dholia;R06589;Reservoir;Banas Kantha;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Saraswati
848192;Dholka;14.20921554;Dholka;R01841;Reservoir;Ratlam;Madhya Pradesh;Mahi;Mahi Upper
846791;Dholkheda;78.36949407;Dolkheda Bk;R06981;Reservoir;Buldhana;Maharashtra;Godavari;Godavari Middle
850101;Dhom;1843.07385658;Vadoli;R02850;Reservoir;Satara;Maharashtra;Krishna;Krishna Upper
850100;Dhom Balakwadi;393.07968928;Jor;R02928;Reservoir;Satara;Maharashtra;Krishna;Krishna Upper
850610;Dhondpargaon;39.67830871;Gurewadi;R03576;Reservoir;Ahmednagar;Maharashtra;Krishna;Bhima Upper
845922;Dhondwadi;5.20396055;Ghonsi;R06846;Reservoir;Latur;Maharashtra;Godavari;Manjra
847561;Dhong;24.88727492;Dhong;R06758;Reservoir;Nandurbar;Maharashtra;Tapi;Tapi Middle
